autor,orcid,derechos,licencia,case_id,block,status,expected,obtained,error
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,F-BH-OK-01,formas_equivalentes_BH,PASS,BH_CERRADO,BH_CERRADO,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,F-BH-LUZ-01,formas_equivalentes_BH,PASS,NO_APTO,NO_APTO,BH-LUZ-002
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,F-BH-TN-01,formas_equivalentes_BH,PASS,NO_APTO,NO_APTO,BH-UPOST-001
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,F-BH-ABS-01,formas_equivalentes_BH,PASS,NO_APTO,NO_APTO,BH-ABS-001
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,C9-01,DΣ_celular,PASS,NO_APTO,NO_APTO,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,C9-02,DΣ_celular,PASS,APTO,APTO,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,C9-03,DΣ_celular,PASS,U,U,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,C9-04,DΣ_celular,PASS,NO_APTO,NO_APTO,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,C36-01,DΣ_celular,PASS,NO_APTO,NO_APTO,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,C36-02,DΣ_celular,PASS,U,U,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,C36-03,DΣ_celular,PASS,APTO,APTO,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,C36-04,DΣ_celular,PASS,NO_APTO,NO_APTO,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,SCH-01,Schwarzschild,PASS,False,False,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,SCH-02,Schwarzschild,PASS,False,False,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,SCH-03,Schwarzschild,PASS,False,False,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,SCH-04,Schwarzschild,PASS,True,True,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,SCH-05,Schwarzschild,PASS,True,True,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,SCH-06,Schwarzschild,PASS,True,True,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,SCH-07,Schwarzschild,PASS,True,True,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,M1,termodinamica_BH,PASS,C_TH=0;C_H=0,C_TH=0;C_H=0,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,M10,termodinamica_BH,PASS,C_TH=0;C_H=0,C_TH=0;C_H=0,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,SGRA,termodinamica_BH,PASS,C_TH=0;C_H=0,C_TH=0;C_H=0,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,M87,termodinamica_BH,PASS,C_TH=0;C_H=0,C_TH=0;C_H=0,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,KERR-01,Kerr,PASS,True,True,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,KERR-02,Kerr,PASS,True,True,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,KERR-03,Kerr,PASS,True,True,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,KERR-04,Kerr,PASS,True,True,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,KERR-05,Kerr,PASS,True,True,
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,KERR-06,Kerr,PASS,False,False,BH-KERR-001
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,K-01,singularidad_geometrica,PASS,no_fundamento,LIMITE_DE_PROYECCION,
