codigo,descripcion,caso_relacionado,laboratorio,dictamen,autoria
E-DIST-01,Distancia cosmológica usada como r local,N-01;N-02;N-03,LAB-06;LAB-15,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
E-LAM-01,Lambda tratada como fuerza local,N-04,LAB-10;LAB-15,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
E-LAM-02,Lambda tratada como calor o temperatura,N-06,LAB-10;LAB-15,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
E-LAM-B01,Lambda_obs[B] usada como Lambda_SV_puro,LNB-02,LAB-09;LAB-15,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
E-LAM-B02,"Lambda_SV_ret[B] sin banco, unidad, incertidumbre, residual o dictamen",LNB-01;LNB-03;LNB-05,LAB-09;LAB-15,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
E-LAM-B03,Mezcla de parámetros H0 y Omega_Lambda de bancos distintos,LNB-04,LAB-09;LAB-15,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
E-LAM-B04,kappa_obs leída como predicción SV sobre la tensión de Hubble,LNB-06,LAB-08;LAB-09;LAB-15,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
E-G-01,G usada como causa última o cosmología total,N-05,LAB-07;LAB-10;LAB-15,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
E-DE-01,Energía oscura sustancializada,N-07,LAB-12;LAB-15,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
E-VAC-01,Energía de vacío desnuda proyectada directamente a Lambda física,N-08,LAB-11;LAB-15,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
E-MASA-01,Toda energía tratada como masa,N-09,LAB-02;LAB-15,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
E-MASA-02,Higgs como explicación total de toda masa,N-10,LAB-02;LAB-15,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
E-HAD-01,QCD extrapolada a toda persistencia material,N-11,LAB-02;LAB-15,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
E-CAMPO-01,Campo y energía tratados como sinónimos,N-12,LAB-01;LAB-15,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
E-GEM-01,"Curvatura sin fuente, acción ni retorno",N-13,LAB-04;LAB-15,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
E-SI-01,Constante experimental tratada como definitoria,N-14,LAB-07;LAB-15,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
E-STAT-01,Ajuste estadístico usado como fundamento,N-15;LNB-07,LAB-12;LAB-15,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
E-TIME-01,Escala de retorno tratada como tiempo rector,N-16,LAB-08;LAB-15,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
E-SV-01,Distancia factual leída como longitud física sin mediación,N-17,LAB-06;LAB-13;LAB-15,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
E-LAB-01,Salida no tabulada o pase silencioso,N-18,LAB-16,RECHAZO,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
