negative_id,input_case,error_expected,expected_status,autor,orcid,copyright,licencia
TNEG_01,Edad(T_absolute)=13800000000aJ,E-PLANO-01,NO_ADMISIBLE,Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados,CC BY-NC-ND 4.0
TNEG_02,A_SUN=13800000000aJ,E-PLANO-02,NO_ADMISIBLE,Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados,CC BY-NC-ND 4.0
TNEG_03,A_SOLAR_SYSTEM=4570000000aJ,E-PLANO-02,NO_ADMISIBLE,Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados,CC BY-NC-ND 4.0
TNEG_04,A_MILKY_WAY_ENV=A_OBSERVABLE_RETURNED,E-PLANO-02,NO_ADMISIBLE,Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados,CC BY-NC-ND 4.0
TNEG_05,A_SV=284018399*A_FC,E-TRANS-01,NO_ADMISIBLE,Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados,CC BY-NC-ND 4.0
TNEG_06,A_SV=284018401*A_FC,E-TRANS-01,NO_ADMISIBLE,Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados,CC BY-NC-ND 4.0
TNEG_07,R_i_not_equal_F_i_minus_A_i,E-ARIT-01,NO_ADMISIBLE,Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados,CC BY-NC-ND 4.0
TNEG_08,f_i_plus_rho_i_not_equal_1,E-FRAC-01,NO_ADMISIBLE,Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados,CC BY-NC-ND 4.0
TNEG_09,F_i_less_than_A_i,E-ARIT-02,NO_ADMISIBLE,Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados,CC BY-NC-ND 4.0
TNEG_10,age_without_domain,E-DOM-01,U,Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados,CC BY-NC-ND 4.0
TNEG_11,age_without_finish,E-FIN-01,U,Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados,CC BY-NC-ND 4.0
TNEG_12,age_without_sv_unit,E-UNIT-02,U,Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados,CC BY-NC-ND 4.0
TNEG_13,age_without_inverse_return,E-TRANS-02,NO_ADMISIBLE,Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados,CC BY-NC-ND 4.0
TNEG_14,second_formula_same_return_different_coefficient,E-TRANS-03,NO_ADMISIBLE,Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados,CC BY-NC-ND 4.0
TNEG_15,untabulated_output,E-LAB-01,NO_ADMISIBLE,Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados,CC BY-NC-ND 4.0
