autor,orcid,copyright,licencia,publicacion,codigo,tipo,descripcion,accion
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,"Imperfección preformal y espacio: ε₋₀, primera distinguibilidad y dominio estructural completo de separación factual recorrible",FUND-BIGBANG-EPS,rechazo_fundamento,Big Bang usado como ε₋₀ u origen preformal absoluto,no admisible
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,"Imperfección preformal y espacio: ε₋₀, primera distinguibilidad y dominio estructural completo de separación factual recorrible",FUND-VACUUM-NADA,rechazo_fundamento,vacío cuántico usado como NADA SV,no admisible
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,"Imperfección preformal y espacio: ε₋₀, primera distinguibilidad y dominio estructural completo de separación factual recorrible",FUND-WAVEFUNCTION-EPS,rechazo_fundamento,función de onda usada como borde preformal,no admisible
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,"Imperfección preformal y espacio: ε₋₀, primera distinguibilidad y dominio estructural completo de separación factual recorrible",FUND-NOTHING-NADA,rechazo_fundamento,nothing físico usado como NADA,no admisible
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,"Imperfección preformal y espacio: ε₋₀, primera distinguibilidad y dominio estructural completo de separación factual recorrible",FUND-METRIC-SPACE,rechazo_fundamento,métrica usada como fundamento del espacio,no admisible
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,"Imperfección preformal y espacio: ε₋₀, primera distinguibilidad y dominio estructural completo de separación factual recorrible",FUND-MULTI-TODO,rechazo_fundamento,pluralidad cosmológica convertida en varios TODOS exteriores,no admisible
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,"Imperfección preformal y espacio: ε₋₀, primera distinguibilidad y dominio estructural completo de separación factual recorrible",FUND-PROB,invariante,"probabilidad, estadística o heurística usadas como criterio de verdad",no admisible
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,"Imperfección preformal y espacio: ε₋₀, primera distinguibilidad y dominio estructural completo de separación factual recorrible",CONF-DM-BH,separacion_dominios,materia oscura identificada con agujero negro,no admisible
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,"Imperfección preformal y espacio: ε₋₀, primera distinguibilidad y dominio estructural completo de separación factual recorrible",CONF-DE-DM,separacion_dominios,energía oscura identificada con materia oscura,no admisible
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,"Imperfección preformal y espacio: ε₋₀, primera distinguibilidad y dominio estructural completo de separación factual recorrible",CONF-TRANSP-ABSENCE,separacion_dominios,transparencia o no detección identificada con inexistencia,no admisible
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,"Imperfección preformal y espacio: ε₋₀, primera distinguibilidad y dominio estructural completo de separación factual recorrible",BH-VOLUME,separacion_dominios,agujero negro tratado como contenedor volumétrico clásico,no admisible
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,"Imperfección preformal y espacio: ε₋₀, primera distinguibilidad y dominio estructural completo de separación factual recorrible",UNIT-SV-MISSING,custodia_metrologica,caso sin unidad SV declarada,no admisible
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,"Imperfección preformal y espacio: ε₋₀, primera distinguibilidad y dominio estructural completo de separación factual recorrible",RETURN-MISSING,retorno_fisico,caso sin retorno físico controlado,no admisible
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,"Imperfección preformal y espacio: ε₋₀, primera distinguibilidad y dominio estructural completo de separación factual recorrible",PARTIAL-AS-FULL,pase_silencioso,absorción parcial declarada como cierre total,fallo de runner
Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados.,CC BY-NC-ND 4.0,"Imperfección preformal y espacio: ε₋₀, primera distinguibilidad y dominio estructural completo de separación factual recorrible",SILENT-PASS,pase_silencioso,"runner no debe declarar éxito sin contar casos, errores y salidas",fallo de runner
