k,nombre,cond_elec,EN_SV,IP_SV,r_SV,EA_SV,M_SV,cond_term,mu_r
1,SV-Hidrógeno,62.0,0.55,391.0,285.0,0.21,100.0,390.6,1.006
2,SV-Helio,61.91,0.69,422.0,278.8,0.29,100.0,390.1,1.012
3,SV-Litio,47.87,0.82,453.0,272.6,0.38,98.4,301.6,1.018
4,SV-Berilio,47.8,0.96,484.0,266.4,0.46,93.6,301.1,1.024
5,SV-Boro,47.73,1.09,515.0,260.2,0.55,88.8,300.7,1.03
6,SV-Carbono,47.66,1.23,546.0,254.0,0.63,84.0,300.3,1.0
7,SV-Nitrógeno,47.6,1.36,577.0,247.8,0.72,79.2,299.9,1.006
8,SV-Oxígeno,47.53,1.5,608.0,241.6,0.8,74.4,299.4,1.012
9,SV-Flúor,47.46,1.63,639.0,235.4,0.89,69.6,299.0,1.018
10,SV-Neón,47.4,1.77,670.0,229.2,0.97,64.8,298.6,1.024
11,SV-Sodio,47.33,1.9,701.0,223.0,1.06,60.0,298.2,1.03
12,SV-Magnesio,47.26,2.04,732.0,216.8,1.14,55.2,297.7,1.0
13,SV-Aluminio,12.78,2.17,763.0,210.6,1.23,50.4,80.5,1.006
14,SV-Silicio,12.76,2.31,794.0,204.4,1.31,45.6,80.4,1.012
15,SV-Fósforo,12.75,2.44,825.0,198.2,1.4,40.8,80.3,1.018
16,SV-Azufre,12.73,2.58,856.0,192.0,1.48,36.0,80.2,1.024
17,SV-Cloro,0.18,2.71,957.0,185.8,2.12,10.0,0.2,1.0
18,SV-Argón,0.02,0.0,1138.0,179.6,0.0,2.0,0.0,1.0
19,SV-Potasio,57.78,0.53,385.0,297.0,0.19,100.0,364.0,1.006
20,SV-Calcio,57.7,0.66,416.0,290.8,0.28,100.0,363.5,1.012
21,SV-Escandio,44.6,0.8,447.0,284.6,0.36,96.2,281.0,1.018
22,SV-Titanio,44.54,0.93,478.0,278.4,0.45,91.4,280.6,1.024
23,SV-Vanadio,44.47,1.07,509.0,272.2,0.53,86.6,280.2,1.03
24,SV-Cromo,44.41,1.2,540.0,266.0,0.61,81.8,279.8,1.0
25,SV-Manganeso,44.35,1.34,571.0,259.8,0.7,77.0,279.4,1.006
26,SV-Hierro,44.28,1.47,602.0,253.6,0.79,72.2,279.0,1.012
27,SV-Cobalto,44.22,1.61,633.0,247.4,0.87,67.4,278.6,1.018
28,SV-Níquel,44.15,1.74,664.0,241.2,0.96,62.6,278.2,1.024
29,SV-Cobre,44.09,1.88,695.0,235.0,1.04,57.8,277.8,1.03
30,SV-Zinc,44.02,2.01,726.0,228.8,1.13,53.0,277.4,1.0
31,SV-Galio,11.91,2.15,757.0,222.6,1.21,48.2,75.0,1.006
32,SV-Germanio,11.89,2.28,788.0,216.4,1.3,43.4,74.9,1.012
33,SV-Arsénico,11.87,2.42,819.0,210.2,1.38,38.6,74.8,1.018
34,SV-Selenio,11.85,2.55,850.0,204.0,1.47,33.8,74.7,1.024
35,SV-Bromo,0.16,2.69,951.0,197.8,2.1,10.0,0.2,1.0
36,SV-Kriptón,0.02,0.0,1132.0,191.6,0.0,2.0,0.0,1.0
37,SV-Rubidio,53.81,0.5,379.0,309.0,0.18,100.0,339.0,1.006
38,SV-Estroncio,53.73,0.64,410.0,302.8,0.26,98.8,338.5,1.012
39,SV-Itrio,41.53,0.77,441.0,296.6,0.34,94.0,261.7,1.018
40,SV-Circonio,41.47,0.91,472.0,290.4,0.43,89.2,261.3,1.024
41,SV-Niobio,41.41,1.04,503.0,284.2,0.52,84.4,260.9,1.03
42,SV-Molibdeno,41.35,1.18,534.0,278.0,0.6,79.6,260.5,1.0
43,SV-Tecnecio,41.29,1.31,565.0,271.8,0.69,74.8,260.1,1.006
44,SV-Rutenio,41.23,1.45,596.0,265.6,0.77,70.0,259.7,1.012
45,SV-Rodio,41.17,1.58,627.0,259.4,0.85,65.2,259.3,1.018
46,SV-Paladio,41.1,1.72,658.0,253.2,0.94,60.4,259.0,1.024
47,SV-Plata,41.04,1.85,689.0,247.0,1.03,55.6,258.6,1.03
48,SV-Cadmio,40.98,1.99,720.0,240.8,1.11,50.8,258.2,1.0
49,SV-Indio,11.08,2.12,751.0,234.6,1.2,46.0,69.8,1.006
50,SV-Estaño,11.07,2.26,782.0,228.4,1.28,41.2,69.7,1.012
51,SV-Antimonio,11.05,2.39,813.0,222.2,1.36,36.4,69.6,1.018
52,SV-Telurio,11.03,2.53,844.0,216.0,1.45,31.6,69.5,1.024
53,SV-Yodo,0.15,2.66,945.0,209.8,2.08,10.0,0.2,1.0
54,SV-Xenón,0.02,0.0,1126.0,203.6,0.0,2.0,0.0,1.0
55,SV-Cesio,50.08,0.48,373.0,321.0,0.16,100.0,315.5,1.006
56,SV-Bario,50.0,0.61,404.0,314.8,0.25,96.6,315.0,1.012
57,SV-Lantano,38.65,0.75,435.0,308.6,0.33,91.8,243.5,1.018
58,SV-Cerio,38.59,0.88,466.0,302.4,0.42,87.0,243.1,1.024
59,SV-Praseodimio,38.53,1.02,497.0,296.2,0.5,82.2,242.8,1.03
60,SV-Neodimio,38.47,1.15,528.0,290.0,0.58,77.4,242.4,1.0
61,SV-Prometio,38.42,1.29,559.0,283.8,0.67,72.6,242.0,1.006
62,SV-Samario,38.36,1.42,590.0,277.6,0.76,67.8,241.6,1.012
63,SV-Europio,38.3,1.56,621.0,271.4,0.84,63.0,241.3,1.018
64,SV-Gadolinio,38.24,1.69,652.0,265.2,0.93,58.2,240.9,1.024
65,SV-Terbio,38.18,1.83,683.0,259.0,1.01,53.4,240.5,1.03
66,SV-Disprosio,38.12,1.96,714.0,252.8,1.1,48.6,240.2,1.0
67,SV-Holmio,10.31,2.09,745.0,246.6,1.18,43.8,64.9,1.006
68,SV-Erbio,10.29,2.23,776.0,240.4,1.27,39.0,64.8,1.012
69,SV-Tulio,10.28,2.37,807.0,234.2,1.35,34.2,64.7,1.018
70,SV-Iterbio,10.26,2.5,838.0,228.0,1.44,29.4,64.6,1.024
71,SV-Lutecio,0.14,2.63,939.0,221.8,2.07,10.0,0.2,1.0
72,SV-Hafnio,0.02,0.0,1120.0,215.6,0.0,2.0,0.0,1.0
73,SV-Tántalo,46.57,0.45,367.0,333.0,0.15,99.2,293.4,1.006
74,SV-Wolframio,46.49,0.59,398.0,326.8,0.23,94.4,292.9,1.012
75,SV-Renio,35.94,0.72,429.0,320.6,0.32,89.6,226.4,1.018
76,SV-Osmio,35.88,0.86,460.0,314.4,0.4,84.8,226.1,1.024
77,SV-Iridio,35.83,0.99,491.0,308.2,0.49,80.0,225.7,1.03
78,SV-Platino,35.77,1.12,522.0,302.0,0.57,75.2,225.4,1.0
79,SV-Oro,35.71,1.26,553.0,295.8,0.66,70.4,225.0,1.006
