autor,orcid,institucion,publicacion,issn,licencia,lugar_fecha,id,familia,regla,residual_controlado,salida_esperada,salida_obtenida,coincide,campos_faltantes,motivo
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",H-01,hidrogeno,ADMISION_H,"R_H^{circ}: dominio, frontera, traza y retorno del hidrógeno",ADMISION,ADMISION,1,,"frontera atómica, traza espectral y retorno declarados"
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",H-02,hidrogeno,ADMISION_H,"R_H^{circ}: dominio, frontera, traza y retorno del hidrógeno",ADMISION,ADMISION,1,,identidad material bajo plasma; no se exige átomo neutro
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",HE-01,helio,ADMISION_HE,R_He: estabilidad nuclear ligera y función diferenciada,ADMISION,ADMISION,1,,estabilidad nuclear y función diferenciada declaradas
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",HHE-01,regimen_hhe,ADMISION_HHE,"R_{HHe}^{SV}: apertura por H, estabilización por He y retorno conjunto",ADMISION,ADMISION,1,,"H abre, He estabiliza y el residual conjunto queda anulado"
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",SOL-01,sol,ADMISION_SOL,"R_SOL: composición H-He, frontera estelar, fusión y retorno",ADMISION,ADMISION,1,,"referencia física con composición, frontera estelar y retorno; no origen"
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",SV443-BASE-01,sv443,ADMISION_SV443_BASE,"R_SV443: subdominio reconocido, dominio extendido y retorno de contraste",ADMISION,ADMISION,1,,entrada reconocida como subdominio físico de contraste
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",CPS-M-01,cps_sv,CPS,"R_CPS: D(A,B), criterios B.1-B.5, compatibilidad y persistencia",APTO-M,APTO-M,1,,"diferencia baja, carácter metálico, compatibilidad posicional y persistencia energética"
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",CPS-C-01,cps_sv,CPS,"R_CPS: D(A,B), criterios B.1-B.5, compatibilidad y persistencia",APTO-C,APTO-C,1,,zona intermedia de enlace covalente estructural
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",CPS-I-01,cps_sv,CPS,"R_CPS: D(A,B), criterios B.1-B.5, compatibilidad y persistencia",APTO-I,APTO-I,1,,diferencia estructural alta con persistencia energética admisible
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",EX-01,exclusion,DEFECTO,R_EX: detección de mezcla de planos o salto material indebido,DEFECTO,DEFECTO,1,,"nombrar H no declara dominio, frontera ni retorno"
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",EX-02,exclusion,DEFECTO,R_EX: detección de mezcla de planos o salto material indebido,DEFECTO,DEFECTO,1,,H no es borde preformal
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",EX-03,exclusion,DEFECTO,R_EX: detección de mezcla de planos o salto material indebido,DEFECTO,DEFECTO,1,,H no es suceso activador
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",EX-04,exclusion,DEFECTO,R_EX: detección de mezcla de planos o salto material indebido,DEFECTO,DEFECTO,1,,H ocupa dominio espacial; no lo funda
Juan Antonio Lloret Egea,0000-0002-6634-3351,Instituto Tecnológico Virtual de la Inteligencia Artificial para el Español™ (ITVIA),IA eñ™ — La Biblia de la IA™,2695-6411,CC BY-NC-ND 4.0,"Madrid, 2026",EX-05,exclusion,DEFECTO,R_EX: detección de mezcla de planos o salto material indebido,DEFECTO,DEFECTO,1,,"H es apertura material ordinaria, no fundamento absoluto"
