# © 2026 Juan Antonio Lloret Egea | ORCID: 0000-0002-6634-3351 | ITVIA | IA eñ™ La Biblia de la IA™ | ISSN 2695-6411 | CC BY-NC-ND 4.0 | Madrid 06/05/2026
# Advertencia: datos estructurales SV — no son mediciones empíricas. Uso comercial prohibido sin autorización. CEDRO.
Nº,Nombre SV,Z_SV,Masa atómica SV (u),Configuración electrónica estructural,Periodo,Grupo,Estado STP SV,Peso por mol SV (g/mol),Densidad SV (g/cm³)
1,SV-Alfa,119,297,[Og] 8s¹,8,1,sólido metálico,297,15.65
2,SV-Beta,120,301,[Og] 8s²,8,2,sólido metálico,301,15.96
3,SV-Gamma,121,304,[Og] 8s² 5g¹,8,3,sólido metálico,304,16.26
4,SV-Delta,122,308,[Og] 8s² 5g²,8,4,sólido metálico,308,16.57
5,SV-Epsilon,123,311,[Og] 8s² 5g³,8,5,sólido metálico,311,16.87
6,SV-Zeta,124,315,[Og] 8s² 5g⁴,8,6,sólido metálico,315,17.17
7,SV-Eta,125,318,[Og] 8s² 5g⁵,8,7,sólido metálico,318,17.48
8,SV-Theta,126,322,[Og] 8s² 5g⁶,8,8,sólido metálico,322,17.79
9,SV-Iota,127,325,[Og] 8s² 5g⁷,8,9,sólido metálico,325,18.09
10,SV-Kappa,128,329,[Og] 8s² 5g⁸,8,10,sólido metálico,329,18.39
11,SV-Lambda,129,332,[Og] 8s² 5g⁹,8,11,sólido metálico,332,18.7
12,SV-Mu,130,336,[Og] 8s² 5g¹⁰,8,12,sólido metálico,336,19.0
13,SV-Nu,131,339,[Og] 8s² 5g¹¹,8,13,sólido semimetálico,339,19.31
14,SV-Xi,132,343,[Og] 8s² 5g¹²,8,14,sólido semimetálico,343,19.62
15,SV-Omicron,133,346,[Og] 8s² 5g¹³,8,15,sólido semimetálico,346,19.92
16,SV-Pi,134,350,[Og] 8s² 5g¹⁴,8,16,sólido semimetálico,350,20.22
17,SV-Rho,135,353,[Og] 8s² 5g¹⁴ 6f¹,8,17,gas reactivo pesado,353,15.98
18,SV-Sigma,136,357,[Og] 8s² 5g¹⁴ 6f²,8,18,gas noble denso,357,16.13
19,SV-Tau,137,360,[Og] 9s¹,9,1,sólido metálico,360,18.44
20,SV-Upsilon,138,364,[Og] 9s²,9,2,sólido metálico,364,18.75
21,SV-Phi,139,367,[Og] 9s² 6f¹,9,3,sólido metálico,367,19.05
