# © 2026 Juan Antonio Lloret Egea | ORCID: 0000-0002-6634-3351 | ITVIA | IA eñ™ La Biblia de la IA™ | ISSN 2695-6411 | CC BY-NC-ND 4.0 | Madrid 06/05/2026
# Advertencia: datos estructurales SV — no son mediciones empíricas. Uso comercial prohibido sin autorización. CEDRO.
Nº,Nombre SV,Conductividad eléctrica SV (MS/m),Electronegatividad SV,Energía ionización SV (kJ/mol),Radio atómico SV (pm),Afinidad electrónica SV (eV),Carácter metálico SV (%),Conductividad térmica SV (W/m·K),Permeabilidad SV (μr)
1,SV-Alfa,62.0,0.55,391,285.0,0.21,100.0,390.6,1.006
2,SV-Beta,61.91,0.69,422,278.8,0.29,100.0,390.1,1.012
3,SV-Gamma,47.87,0.82,453,272.6,0.38,98.4,301.6,1.018
4,SV-Delta,47.8,0.96,484,266.4,0.46,93.6,301.1,1.024
5,SV-Epsilon,47.73,1.09,515,260.2,0.55,88.8,300.7,1.03
6,SV-Zeta,47.66,1.23,546,254.0,0.63,84.0,300.3,1.0
7,SV-Eta,47.6,1.36,577,247.8,0.72,79.2,299.9,1.006
8,SV-Theta,47.53,1.5,608,241.6,0.8,74.4,299.4,1.012
9,SV-Iota,47.46,1.63,639,235.4,0.89,69.6,299.0,1.018
10,SV-Kappa,47.4,1.77,670,229.2,0.97,64.8,298.6,1.024
11,SV-Lambda,47.33,1.9,701,223.0,1.06,60.0,298.2,1.03
12,SV-Mu,47.26,2.04,732,216.8,1.14,55.2,297.7,1.0
13,SV-Nu,12.78,2.17,763,210.6,1.23,50.4,80.5,1.006
14,SV-Xi,12.76,2.31,794,204.4,1.31,45.6,80.4,1.012
15,SV-Omicron,12.75,2.44,825,198.2,1.4,40.8,80.3,1.018
16,SV-Pi,12.73,2.58,856,192.0,1.48,36.0,80.2,1.024
17,SV-Rho,0.18,2.71,957,185.8,2.12,10.0,0.2,1.0
18,SV-Sigma,0.02,0.0,1138,179.6,0.0,2.0,0.0,1.0
19,SV-Tau,57.78,0.53,385,297.0,0.19,100.0,364.0,1.006
20,SV-Upsilon,57.7,0.66,416,290.8,0.28,100.0,363.5,1.012
21,SV-Phi,44.6,0.8,447,284.6,0.36,96.2,281.0,1.018
22,SV-Chi,44.54,0.93,478,278.4,0.45,91.4,280.6,1.024
23,SV-Psi,44.47,1.07,509,272.2,0.53,86.6,280.2,1.03
24,SV-Omega,44.41,1.2,540,266.0,0.61,81.8,279.8,1.0
25,SV-II-Alfa,44.35,1.34,571,259.8,0.7,77.0,279.4,1.006
26,SV-II-Beta,44.28,1.47,602,253.6,0.79,72.2,279.0,1.012
27,SV-II-Gamma,44.22,1.61,633,247.4,0.87,67.4,278.6,1.018
28,SV-II-Delta,44.15,1.74,664,241.2,0.96,62.6,278.2,1.024
29,SV-II-Epsilon,44.09,1.88,695,235.0,1.04,57.8,277.8,1.03
30,SV-II-Zeta,44.02,2.01,726,228.8,1.13,53.0,277.4,1.0
31,SV-II-Eta,11.91,2.15,757,222.6,1.21,48.2,75.0,1.006
32,SV-II-Theta,11.89,2.28,788,216.4,1.3,43.4,74.9,1.012
33,SV-II-Iota,11.87,2.42,819,210.2,1.38,38.6,74.8,1.018
34,SV-II-Kappa,11.85,2.55,850,204.0,1.47,33.8,74.7,1.024
35,SV-II-Lambda,0.16,2.69,951,197.8,2.1,10.0,0.2,1.0
36,SV-II-Mu,0.02,0.0,1132,191.6,0.0,2.0,0.0,1.0
37,SV-II-Nu,53.81,0.5,379,309.0,0.18,100.0,339.0,1.006
38,SV-II-Xi,53.73,0.64,410,302.8,0.26,98.8,338.5,1.012
39,SV-II-Omicron,41.53,0.77,441,296.6,0.34,94.0,261.7,1.018
40,SV-II-Pi,41.47,0.91,472,290.4,0.43,89.2,261.3,1.024
41,SV-II-Rho,41.41,1.04,503,284.2,0.52,84.4,260.9,1.03
42,SV-II-Sigma,41.35,1.18,534,278.0,0.6,79.6,260.5,1.0
43,SV-II-Tau,41.29,1.31,565,271.8,0.69,74.8,260.1,1.006
44,SV-II-Upsilon,41.23,1.45,596,265.6,0.77,70.0,259.7,1.012
45,SV-II-Phi,41.17,1.58,627,259.4,0.85,65.2,259.3,1.018
46,SV-II-Chi,41.1,1.72,658,253.2,0.94,60.4,259.0,1.024
47,SV-II-Psi,41.04,1.85,689,247.0,1.03,55.6,258.6,1.03
48,SV-II-Omega,40.98,1.99,720,240.8,1.11,50.8,258.2,1.0
49,SV-III-Alfa,11.08,2.12,751,234.6,1.2,46.0,69.8,1.006
50,SV-III-Beta,11.07,2.26,782,228.4,1.28,41.2,69.7,1.012
51,SV-III-Gamma,11.05,2.39,813,222.2,1.36,36.4,69.6,1.018
52,SV-III-Delta,11.03,2.53,844,216.0,1.45,31.6,69.5,1.024
53,SV-III-Epsilon,0.15,2.66,945,209.8,2.08,10.0,0.2,1.0
54,SV-III-Zeta,0.02,0.0,1126,203.6,0.0,2.0,0.0,1.0
55,SV-III-Eta,50.08,0.48,373,321.0,0.16,100.0,315.5,1.006
56,SV-III-Theta,50.0,0.61,404,314.8,0.25,96.6,315.0,1.012
57,SV-III-Iota,38.65,0.75,435,308.6,0.33,91.8,243.5,1.018
58,SV-III-Kappa,38.59,0.88,466,302.4,0.42,87.0,243.1,1.024
59,SV-III-Lambda,38.53,1.02,497,296.2,0.5,82.2,242.8,1.03
60,SV-III-Mu,38.47,1.15,528,290.0,0.58,77.4,242.4,1.0
61,SV-III-Nu,38.42,1.29,559,283.8,0.67,72.6,242.0,1.006
62,SV-III-Xi,38.36,1.42,590,277.6,0.76,67.8,241.6,1.012
63,SV-III-Omicron,38.3,1.56,621,271.4,0.84,63.0,241.3,1.018
64,SV-III-Pi,38.24,1.69,652,265.2,0.93,58.2,240.9,1.024
65,SV-III-Rho,38.18,1.83,683,259.0,1.01,53.4,240.5,1.03
66,SV-III-Sigma,38.12,1.96,714,252.8,1.1,48.6,240.2,1.0
67,SV-III-Tau,10.31,2.09,745,246.6,1.18,43.8,64.9,1.006
