# © 2026 Juan Antonio Lloret Egea | ORCID: 0000-0002-6634-3351 | ITVIA | IA eñ™ La Biblia de la IA™ | ISSN 2695-6411 | CC BY-NC-ND 4.0 | Madrid 06/05/2026
# Advertencia: datos estructurales SV — no son mediciones empíricas. Uso comercial prohibido sin autorización. CEDRO.
Nº,Nombre SV,Dureza SV (Mohs),Resistencia física SV (MPa),Coef. rozamiento SV,Flexibilidad SV (0-1),Maleabilidad SV (0-1),Resistencia oxidación SV (0-100),Resistencia corrosión SV (0-100),Resistencia térmica hasta cambio (°C)
1,SV-Alfa,1.25,98,0.17,0.9,0.92,18.2,21.6,680
2,SV-Beta,1.4,116,0.18,0.86,0.88,22.4,25.2,710
3,SV-Gamma,2.52,134,0.2,0.83,0.84,26.6,28.8,740
4,SV-Delta,2.84,152,0.21,0.8,0.8,30.8,32.4,770
5,SV-Epsilon,3.16,170,0.22,0.76,0.76,35.0,36.0,800
6,SV-Zeta,3.48,188,0.23,0.72,0.72,39.2,39.6,830
7,SV-Eta,3.8,206,0.24,0.69,0.68,43.4,43.2,860
8,SV-Theta,4.12,224,0.26,0.66,0.64,47.6,46.8,890
9,SV-Iota,4.44,242,0.27,0.62,0.6,51.8,50.4,920
10,SV-Kappa,4.76,260,0.28,0.58,0.56,56.0,54.0,950
11,SV-Lambda,5.08,278,0.29,0.55,0.52,60.2,57.6,980
12,SV-Mu,5.4,296,0.3,0.52,0.48,64.4,61.2,1010
13,SV-Nu,5.3,314,0.32,0.48,0.24,68.6,64.8,1040
14,SV-Xi,5.48,332,0.33,0.44,0.22,72.8,68.4,1070
15,SV-Omicron,5.66,350,0.34,0.41,0.2,77.0,72.0,1100
16,SV-Pi,5.84,368,0.35,0.38,0.18,81.2,75.6,1130
17,SV-Rho,0.6,8,0.0,0.02,0.01,85.4,79.2,120
18,SV-Sigma,0.2,2,0.0,0.02,0.01,95.0,96.0,-190
19,SV-Tau,1.27,106,0.17,0.88,0.91,20.7,23.7,720
20,SV-Upsilon,1.42,124,0.18,0.84,0.86,24.9,27.3,750
21,SV-Phi,2.55,142,0.2,0.81,0.83,29.1,30.9,780
22,SV-Chi,2.87,160,0.21,0.78,0.79,33.3,34.5,810
23,SV-Psi,3.19,178,0.22,0.74,0.74,37.5,38.1,840
24,SV-Omega,3.51,196,0.23,0.7,0.7,41.7,41.7,870
25,SV-II-Alfa,3.83,214,0.24,0.67,0.67,45.9,45.3,900
26,SV-II-Beta,4.15,232,0.26,0.64,0.62,50.1,48.9,930
27,SV-II-Gamma,4.47,250,0.27,0.6,0.59,54.3,52.5,960
28,SV-II-Delta,4.79,268,0.28,0.56,0.55,58.5,56.1,990
29,SV-II-Epsilon,5.11,286,0.29,0.53,0.51,62.7,59.7,1020
30,SV-II-Zeta,5.43,304,0.3,0.49,0.47,66.9,63.3,1050
31,SV-II-Eta,5.28,322,0.32,0.46,0.23,71.1,66.9,1080
32,SV-II-Theta,5.46,340,0.33,0.42,0.21,75.3,70.5,1110
33,SV-II-Iota,5.64,358,0.34,0.39,0.19,79.5,74.1,1140
34,SV-II-Kappa,5.82,376,0.35,0.35,0.17,83.7,77.7,1170
35,SV-II-Lambda,0.6,8,0.0,0.02,0.01,87.9,81.3,135
36,SV-II-Mu,0.2,2,0.0,0.02,0.01,95.0,96.0,-185
37,SV-II-Nu,1.29,114,0.17,0.86,0.89,23.2,25.8,760
38,SV-II-Xi,1.44,132,0.18,0.82,0.85,27.4,29.4,790
39,SV-II-Omicron,2.58,150,0.2,0.79,0.81,31.6,33.0,820
40,SV-II-Pi,2.9,168,0.21,0.76,0.77,35.8,36.6,850
41,SV-II-Rho,3.22,186,0.22,0.72,0.73,40.0,40.2,880
42,SV-II-Sigma,3.54,204,0.23,0.68,0.69,44.2,43.8,910
43,SV-II-Tau,3.86,222,0.24,0.65,0.65,48.4,47.4,940
44,SV-II-Upsilon,4.18,240,0.26,0.61,0.61,52.6,51.0,970
45,SV-II-Phi,4.5,258,0.27,0.58,0.57,56.8,54.6,1000
46,SV-II-Chi,4.82,276,0.28,0.54,0.53,61.0,58.2,1030
47,SV-II-Psi,5.14,294,0.29,0.51,0.49,65.2,61.8,1060
48,SV-II-Omega,5.46,312,0.3,0.48,0.45,69.4,65.4,1090
49,SV-III-Alfa,5.26,330,0.32,0.44,0.23,73.6,69.0,1120
50,SV-III-Beta,5.44,348,0.33,0.4,0.2,77.8,72.6,1150
51,SV-III-Gamma,5.62,366,0.34,0.37,0.18,82.0,76.2,1180
52,SV-III-Delta,5.8,384,0.35,0.34,0.16,86.2,79.8,1210
53,SV-III-Epsilon,0.6,8,0.0,0.02,0.01,90.4,83.4,150
54,SV-III-Zeta,0.2,2,0.0,0.02,0.01,95.0,96.0,-180
55,SV-III-Eta,1.31,122,0.17,0.84,0.88,25.7,27.9,800
56,SV-III-Theta,1.46,140,0.18,0.8,0.83,29.9,31.5,830
57,SV-III-Iota,2.61,158,0.2,0.77,0.8,34.1,35.1,860
58,SV-III-Kappa,2.93,176,0.21,0.74,0.76,38.3,38.7,890
59,SV-III-Lambda,3.25,194,0.22,0.7,0.71,42.5,42.3,920
60,SV-III-Mu,3.57,212,0.23,0.67,0.67,46.7,45.9,950
61,SV-III-Nu,3.89,230,0.24,0.63,0.64,50.9,49.5,980
62,SV-III-Xi,4.21,248,0.26,0.59,0.59,55.1,53.1,1010
63,SV-III-Omicron,4.53,266,0.27,0.56,0.56,59.3,56.7,1040
64,SV-III-Pi,4.85,284,0.28,0.52,0.52,63.5,60.3,1070
65,SV-III-Rho,5.17,302,0.29,0.49,0.48,67.7,63.9,1100
66,SV-III-Sigma,5.49,320,0.3,0.46,0.44,71.9,67.5,1130
67,SV-III-Tau,5.24,338,0.32,0.42,0.22,76.1,71.1,1160
68,SV-III-Upsilon,5.42,356,0.33,0.38,0.2,80.3,74.7,1190
69,SV-III-Phi,5.6,374,0.34,0.35,0.17,84.5,78.3,1220
70,SV-III-Chi,5.78,392,0.35,0.32,0.15,88.7,81.9,1250
71,SV-III-Psi,0.6,8,0.0,0.02,0.01,92.9,85.5,165
72,SV-III-Omega,0.2,2,0.0,0.02,0.01,95.0,96.0,-175
73,SV-IV-Alfa,1.33,130,0.17,0.82,0.86,28.2,30.0,840
74,SV-IV-Beta,1.48,148,0.18,0.79,0.82,32.4,33.6,870
75,SV-IV-Gamma,2.64,166,0.2,0.75,0.78,36.6,37.2,900
76,SV-IV-Delta,2.96,184,0.21,0.72,0.74,40.8,40.8,930
77,SV-IV-Epsilon,3.28,202,0.22,0.68,0.7,45.0,44.4,960
