# © 2026 Juan Antonio Lloret Egea | ORCID: 0000-0002-6634-3351 | ITVIA | IA eñ™ La Biblia de la IA™ | ISSN 2695-6411 | CC BY-NC-ND 4.0 | Madrid 06/05/2026
# Advertencia: datos estructurales SV — no son mediciones empíricas. Uso comercial prohibido sin autorización. CEDRO.
Nº,Nombre SV,Volumen atómico SV (Å³),Intervalo térmico estable SV (°C),Nivel radiactivo SV (0-100),Nº isótopos SV,Función estructural SV,Aplicación científica SV,Aplicación aeroespacial/cosmológica SV,Aplicación médica SV
1,SV-Alfa,96.97,-273 a 680,45.0,6,apertura alcalina de persistencia superperiódica del periodo 8,electrónica extrema,estructura densa,implante estructural SV
2,SV-Beta,90.78,-273 a 710,45.5,8,cierre s de confinamiento basal del periodo 8,electrónica extrema,estructura densa,implante estructural SV
3,SV-Gamma,84.85,-273 a 740,46.0,8,apertura de subbloque extendido del periodo 8,aleaciones SV,estructura densa,implante estructural SV
4,SV-Delta,79.19,-273 a 770,46.4,9,segundo anclaje de frontera extendida del periodo 8,aleaciones SV,estructura densa,implante estructural SV
5,SV-Epsilon,73.79,-273 a 800,46.9,10,crecimiento de confinamiento lateral del periodo 8,aleaciones SV,estructura densa,implante estructural SV
6,SV-Zeta,68.64,-273 a 830,47.4,5,consolidación intermedia de frontera del periodo 8,aleaciones SV,estructura densa,implante estructural SV
7,SV-Eta,63.74,-273 a 860,47.9,6,semilleno estructural primario del periodo 8,aleaciones SV,estructura densa,implante estructural SV
8,SV-Theta,59.07,-273 a 890,48.4,8,isla local de estabilidad relativa del periodo 8,aleaciones SV,estructura densa,implante estructural SV
9,SV-Iota,54.64,-273 a 920,48.8,8,transición posisla de identidad del periodo 8,aleaciones SV,estructura densa,implante estructural SV
10,SV-Kappa,50.44,-273 a 950,49.3,9,persistencia tardía de subbloque del periodo 8,aleaciones SV,estructura densa,implante estructural SV
11,SV-Lambda,46.45,-273 a 980,49.8,10,frontera metálica tardía del periodo 8,aleaciones SV,estructura densa,implante estructural SV
12,SV-Mu,42.68,-273 a 1010,50.3,5,cierre medio de subbloque del periodo 8,aleaciones SV,estructura densa,implante estructural SV
13,SV-Nu,39.13,-273 a 1040,50.8,6,transición covalente pesada del periodo 8,material funcional pesado,blindaje/radiación,teragnóstico pesado
14,SV-Xi,35.77,-273 a 1070,51.2,7,estabilización tetravalente estructural del periodo 8,material funcional pesado,blindaje/radiación,teragnóstico pesado
15,SV-Omicron,32.61,-273 a 1100,51.7,8,frontera pnictógena ampliada del periodo 8,material funcional pesado,blindaje/radiación,teragnóstico pesado
16,SV-Pi,29.65,-273 a 1130,52.2,9,cierre calcógeno estructural del periodo 8,material funcional pesado,blindaje/radiación,teragnóstico pesado
17,SV-Rho,26.87,-273 a 120,52.7,10,clase halógena superpesada del periodo 8,química reactiva extrema,blindaje/radiación,teragnóstico pesado
18,SV-Sigma,24.27,-273 a -190,53.2,6,cierre noble superpesado del periodo 8,trazador inerte denso,blindaje/radiación,teragnóstico pesado
19,SV-Tau,109.74,-273 a 720,54.3,7,apertura alcalina de persistencia superperiódica del periodo 9,electrónica extrema,estructura densa,implante estructural SV
20,SV-Upsilon,103.01,-273 a 750,54.8,9,cierre s de confinamiento basal del periodo 9,electrónica extrema,estructura densa,implante estructural SV
21,SV-Phi,96.56,-273 a 780,55.3,9,apertura de subbloque extendido del periodo 9,aleaciones SV,estructura densa,implante estructural SV
22,SV-Chi,90.38,-273 a 810,55.8,10,segundo anclaje de frontera extendida del periodo 9,aleaciones SV,estructura densa,implante estructural SV
23,SV-Psi,84.48,-273 a 840,56.3,11,crecimiento de confinamiento lateral del periodo 9,aleaciones SV,estructura densa,implante estructural SV
24,SV-Omega,78.84,-273 a 870,56.7,6,consolidación intermedia de frontera del periodo 9,aleaciones SV,estructura densa,implante estructural SV
25,SV-II-Alfa,73.45,-273 a 900,57.2,7,semilleno estructural primario del periodo 9,aleaciones SV,estructura densa,implante estructural SV
26,SV-II-Beta,68.32,-273 a 930,57.7,9,isla local de estabilidad relativa del periodo 9,aleaciones SV,estructura densa,implante estructural SV
27,SV-II-Gamma,63.43,-273 a 960,58.2,9,transición posisla de identidad del periodo 9,aleaciones SV,estructura densa,implante estructural SV
28,SV-II-Delta,58.78,-273 a 990,58.7,10,persistencia tardía de subbloque del periodo 9,aleaciones SV,estructura densa,implante estructural SV
29,SV-II-Epsilon,54.36,-273 a 1020,59.1,11,frontera metálica tardía del periodo 9,aleaciones SV,estructura densa,implante estructural SV
30,SV-II-Zeta,50.17,-273 a 1050,59.6,6,cierre medio de subbloque del periodo 9,aleaciones SV,estructura densa,implante estructural SV
31,SV-II-Eta,46.2,-273 a 1080,60.1,7,transición covalente pesada del periodo 9,material funcional pesado,blindaje/radiación,teragnóstico pesado
32,SV-II-Theta,42.45,-273 a 1110,60.6,8,estabilización tetravalente estructural del periodo 9,material funcional pesado,blindaje/radiación,teragnóstico pesado
33,SV-II-Iota,38.9,-273 a 1140,61.1,9,frontera pnictógena ampliada del periodo 9,material funcional pesado,blindaje/radiación,teragnóstico pesado
34,SV-II-Kappa,35.56,-273 a 1170,61.5,10,cierre calcógeno estructural del periodo 9,material funcional pesado,blindaje/radiación,teragnóstico pesado
35,SV-II-Lambda,32.42,-273 a 135,62.0,11,clase halógena superpesada del periodo 9,química reactiva extrema,blindaje/radiación,teragnóstico pesado
36,SV-II-Mu,29.46,-273 a -185,62.5,7,cierre noble superpesado del periodo 9,trazador inerte denso,blindaje/radiación,teragnóstico pesado
37,SV-II-Nu,123.58,-273 a 760,63.7,8,apertura alcalina de persistencia superperiódica del periodo 10,electrónica extrema,estructura densa,implante estructural SV
38,SV-II-Xi,116.29,-273 a 790,64.2,10,cierre s de confinamiento basal del periodo 10,electrónica extrema,estructura densa,implante estructural SV
39,SV-II-Omicron,109.3,-273 a 820,64.6,10,apertura de subbloque extendido del periodo 10,aleaciones SV,estructura densa,implante estructural SV
40,SV-II-Pi,102.58,-273 a 850,65.1,11,segundo anclaje de frontera extendida del periodo 10,aleaciones SV,estructura densa,implante estructural SV
41,SV-II-Rho,96.15,-273 a 880,65.6,12,crecimiento de confinamiento lateral del periodo 10,aleaciones SV,estructura densa,implante estructural SV
42,SV-II-Sigma,90.0,-273 a 910,66.1,7,consolidación intermedia de frontera del periodo 10,aleaciones SV,estructura densa,implante estructural SV
43,SV-II-Tau,84.11,-273 a 940,66.6,8,semilleno estructural primario del periodo 10,aleaciones SV,estructura densa,implante estructural SV
