Elemento,rol,k,Z_SV,A_SV,Periodo,Grupo,Z_fis,Composicion,Sigma_Z,Sigma_A_ref,Regimen_A_ref,N_res,N,N_Z,Theta_max_C,Margen_C,R_ZSV,R_ASV,R_Zfis,R_A,R_Theta,resolución
SV-381,termico_KTheta,381,499,1627,29,3,499,Ac+3Og+Ba,499,1247,A_ref_parametrico_KTheta_round_2_5Z,380,1128,2.2605,4510,10,0,0,0,0,0,ADMISIBLE
SV-382,termico_KTheta,382,500,1631,29,4,500,Rf+3Og+Mo,500,1250,A_ref_parametrico_KTheta_round_2_5Z,381,1131,2.262,4520,20,0,0,0,0,0,ADMISIBLE
SV-383,termico_KTheta,383,501,1634,29,5,501,Db+3Og+Mo,501,1252,A_ref_parametrico_KTheta_round_2_5Z,382,1133,2.2615,4530,30,0,0,0,0,0,ADMISIBLE
SV-384,termico_KTheta,384,502,1638,29,6,502,Sg+3Og+Mo,502,1255,A_ref_parametrico_KTheta_round_2_5Z,383,1136,2.2629,4540,40,0,0,0,0,0,ADMISIBLE
SV-385,termico_KTheta,385,503,1641,29,7,503,Bh+3Og+Mo,503,1258,A_ref_parametrico_KTheta_round_2_5Z,383,1138,2.2624,4550,50,0,0,0,0,0,ADMISIBLE
SV-386,termico_KTheta,386,504,1645,29,8,504,Hs+3Og+Mo,504,1260,A_ref_parametrico_KTheta_round_2_5Z,385,1141,2.2639,4560,60,0,0,0,0,0,ADMISIBLE
SV-387,termico_KTheta,387,505,1648,29,9,505,Mt+3Og+Mo,505,1262,A_ref_parametrico_KTheta_round_2_5Z,386,1143,2.2634,4570,70,0,0,0,0,0,ADMISIBLE
SV-388,termico_KTheta,388,506,1652,29,10,506,Ds+3Og+Mo,506,1265,A_ref_parametrico_KTheta_round_2_5Z,387,1146,2.2648,4580,80,0,0,0,0,0,ADMISIBLE
SV-389,termico_KTheta,389,507,1655,29,11,507,Rg+3Og+Mo,507,1268,A_ref_parametrico_KTheta_round_2_5Z,387,1148,2.2643,4590,90,0,0,0,0,0,ADMISIBLE
SV-390,termico_KTheta,390,508,1659,29,12,508,Cn+3Og+Mo,508,1270,A_ref_parametrico_KTheta_round_2_5Z,389,1151,2.2657,4600,100,0,0,0,0,0,ADMISIBLE
SV-391,termico_KTheta,391,509,1662,29,13,509,Nh+3Og+Mo,509,1272,A_ref_parametrico_KTheta_round_2_5Z,390,1153,2.2652,4610,110,0,0,0,0,0,ADMISIBLE
SV-392,termico_KTheta,392,510,1666,29,14,510,Fl+3Og+Mo,510,1275,A_ref_parametrico_KTheta_round_2_5Z,391,1156,2.2667,4620,120,0,0,0,0,0,ADMISIBLE
SV-393,termico_KTheta,393,511,1669,29,15,511,Mc+3Og+Mo,511,1278,A_ref_parametrico_KTheta_round_2_5Z,391,1158,2.2661,4630,130,0,0,0,0,0,ADMISIBLE
